ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr
202728,2025-04-23 23:45:05,88350,105150,54675,761.00,30.64,2025-04-24,23550,2821650,1308450,28182900,7.10,34.61,24328.95,31.93720
202729,2025-04-23 23:45:05,715950,889200,689175,713.00,26.12,2025-04-24,23600,6767550,3549975,52719000,7.35,32.96,24328.95,9.45250
202730,2025-04-23 23:45:05,236175,253050,64875,658.25,21.97,2025-04-24,23650,2777025,1330725,30806100,7.85,31.49,24328.95,11.75830
202731,2025-04-23 23:45:05,845775,1010625,760725,610.50,24.78,2025-04-24,23700,6164025,5386800,63809625,8.05,29.60,24328.95,7.28800
202732,2025-04-23 23:45:05,180000,242925,298350,561.40,24.05,2025-04-24,23750,1998975,1541175,44901825,8.55,28.14,24328.95,11.10540
202733,2025-04-23 23:45:05,1950900,2429550,2434350,510.25,23.74,2025-04-24,23800,5754075,6923925,103848450,9.00,26.31,24328.95,2.94940
202734,2025-04-23 23:45:05,352125,433200,639750,462.10,21.12,2025-04-24,23850,1796400,2000025,57107250,9.60,24.54,24328.95,5.10160
202735,2025-04-23 23:45:05,1064625,1627125,4206600,412.70,20.94,2025-04-24,23900,5499675,6680475,120090525,9.60,22.71,24328.95,5.16580
202736,2025-04-23 23:45:05,432750,615225,2578275,362.95,18.74,2025-04-24,23950,2766750,2423175,81999900,10.55,20.90,24328.95,6.39340
202737,2025-04-23 23:45:05,3390900,4464075,33219750,313.00,17.09,2025-04-24,24000,13526100,10971525,257829375,11.10,18.92,24328.95,3.98890
202738,2025-04-23 23:45:05,775200,979725,13906500,265.70,15.26,2025-04-24,24050,3324450,2911800,122127225,11.55,16.82,24328.95,4.28850
202739,2025-04-23 23:45:05,3007650,4413525,76550700,215.95,13.06,2025-04-24,24100,9320550,6968550,264766650,12.75,14.86,24328.95,3.09890
202740,2025-04-23 23:45:05,1770375,3323250,102919425,167.30,11.63,2025-04-24,24150,5139075,3892425,223200525,15.30,13.12,24328.95,2.90280
202741,2025-04-23 23:45:05,6606225,9263775,345620400,123.30,10.68,2025-04-24,24200,11321400,5060775,436413525,21.05,11.90,24328.95,1.71370
202742,2025-04-23 23:45:05,3626175,3696300,288836850,88.20,10.85,2025-04-24,24250,4771350,940800,270926775,34.65,11.66,24328.95,1.31580
202743,2025-04-23 23:45:05,10924950,6487725,500482950,63.50,11.87,2025-04-24,24300,6849825,1600200,330140175,58.00,12.30,24328.95,0.62700
202744,2025-04-23 23:45:05,6182850,2648775,282534525,46.70,13.00,2025-04-24,24350,1973100,309225,112355400,91.20,13.44,24328.95,0.31910
202745,2025-04-23 23:45:05,8155650,6227175,282323625,36.50,14.59,2025-04-24,24400,1699275,329850,75107625,130.85,14.89,24328.95,0.20840
202746,2025-04-23 23:45:05,3244650,2081175,139963500,29.00,15.93,2025-04-24,24450,201225,35775,13564500,174.95,16.75,24328.95,0.06200
202747,2025-04-23 23:45:05,10370400,9559200,254897925,22.55,17.15,2025-04-24,24500,922125,635175,23587200,217.10,17.55,24328.95,0.08890
202748,2025-04-23 23:45:05,2265900,1820925,105560400,18.05,18.19,2025-04-24,24550,48000,9825,2030325,262.50,18.89,24328.95,0.02120
202749,2025-04-23 23:45:05,5184000,4175325,136198800,13.65,19.17,2025-04-24,24600,86325,30375,2533575,310.00,20.32,24328.95,0.01670
202750,2025-04-23 23:45:05,2080200,1979925,80743575,11.10,20.20,2025-04-24,24650,12150,7200,343125,356.20,21.30,24328.95,0.00580
202751,2025-04-23 23:45:05,5694075,3714675,108168900,8.80,21.18,2025-04-24,24700,37650,29250,672750,403.25,22.09,24328.95,0.00660
202752,2025-04-23 23:45:05,3072225,1474800,55816275,7.60,22.28,2025-04-24,24750,4200,3600,74175,452.30,23.65,24328.95,0.00140
202753,2025-04-23 23:45:05,7207275,4188075,97641525,6.00,23.19,2025-04-24,24800,52350,21525,509625,501.50,24.29,24328.95,0.00730
202754,2025-04-23 23:45:05,2728350,1441050,45052275,4.80,23.99,2025-04-24,24850,2400,1125,29100,551.90,27.34,24328.95,0.00090
202755,2025-04-23 23:45:05,5412975,3290475,61844325,4.10,24.84,2025-04-24,24900,9225,8325,31650,597.05,25.39,24328.95,0.00170
202756,2025-04-23 23:45:05,2188800,999750,36208425,3.35,25.88,2025-04-24,24950,2475,1200,13650,653.15,32.04,24328.95,0.00110
202757,2025-04-23 23:45:05,14081550,12513450,109203600,3.25,27.59,2025-04-24,25000,486525,635325,574425,698.10,29.91,24328.95,0.03460
202758,2025-04-23 23:45:05,1944600,1079850,29187450,2.80,28.44,2025-04-24,25050,1875,1950,525,749.00,32.53,24328.95,0.00100
202759,2025-04-23 23:45:05,6594225,2838900,55118175,2.75,29.54,2025-04-24,25100,23925,27375,5250,801.00,36.01,24328.95,0.00360
202760,2025-04-23 23:45:05,1681875,723675,27820425,2.35,30.52,2025-04-24,25150,1650,1950,750,840.25,0.00,24328.95,0.00100
202761,2025-04-23 23:45:05,6233850,2724750,53295900,2.00,31.25,2025-04-24,25200,11400,17325,17025,897.45,36.01,24328.95,0.00180
202762,2025-04-23 23:45:05,879450,860925,21155325,1.85,32.23,2025-04-24,25250,1050,1125,2025,997.90,64.85,24328.95,0.00120
202763,2025-04-23 23:45:05,4176375,3278025,43140900,1.70,33.45,2025-04-24,25300,3675,4275,1875,998.50,40.53,24328.95,0.00090
202764,2025-04-23 23:45:05,728175,863325,10836300,1.45,34.42,2025-04-24,25350,825,825,675,1050.00,43.82,24328.95,0.00110
202765,2025-04-23 23:45:05,2387100,2658300,26242275,1.40,35.40,2025-04-24,25400,2925,3150,1275,1099.20,44.56,24328.95,0.00120
202766,2025-04-23 23:45:05,829425,1292475,13218750,1.20,36.62,2025-04-24,25450,2175,2025,1350,1129.00,0.00,24328.95,0.00260
202767,2025-04-23 23:45:05,14848725,16989750,76100775,1.25,37.60,2025-04-24,25500,350475,665850,445275,1196.50,43.70,24328.95,0.02360
202768,2025-04-23 23:45:05,845775,1219500,12632250,0.95,39.06,2025-04-24,25550,0,0,0,0.00,0.00,24328.95,0.00000
202769,2025-04-23 23:45:05,4762200,7295475,38979600,0.80,39.06,2025-04-24,25600,225,150,150,1282.40,0.00,24328.95,0.00000
202770,2025-04-23 23:45:05,300600,146400,7489050,1.10,41.50,2025-04-24,25650,0,0,0,0.00,0.00,24328.95,0.00000
